date,market,publication,domain,category,business_name,instagram_url,instagram_handle,website,research_source,contact_route,buyer_group,category_phrase,outcome_phrase,audience_line,final_dm,quality_score,duplicate_status,last_contacted_date,notes
2026-07-16,"Charleston, SC",Charleston Scoop,charlestonscoop.com,HVAC,My Three Sons Heating & Air,https://www.instagram.com/mythreesonshvac/,mythreesonshvac,https://mythreesonshvac.com/,Charleston City Paper,marketing,homeowners and families,HVAC reputation,HVAC choice,"3,000+ Charleston homeowners and families","Hi My Three Sons Heating & Air! I found you through Charleston City Paper and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one HVAC company as our exclusive partner, meaning we won’t work with a competing HVAC company. My Three Sons Heating & Air looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: website_schema | website category match: hvac | market affinity: exact city address or core ZIP | discovery evidence: https://charlestoncitypaper.com/2026/05/14/meet-the-best-of-charleston-2026/
2026-07-16,"Charleston, SC",Charleston Scoop,charlestonscoop.com,plumbing,Drip Doctor Plumbing,https://www.instagram.com/dripdoctorplumbing/,dripdoctorplumbing,https://dripdrplumbing.com/,your Google profile,marketing,homeowners and families,plumbing reputation,plumbing choice,"3,000+ Charleston homeowners and families","Hi Drip Doctor Plumbing! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one plumbing company as our exclusive partner, meaning we won’t work with a competing plumbing company. Drip Doctor looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: google_business_profile | website category match: plumbing | market affinity: exact city address or core ZIP
2026-07-16,"Charleston, SC",Charleston Scoop,charlestonscoop.com,business law,Mickelsen Dalton,https://www.instagram.com/mickelsendalton/,mickelsendalton,https://www.mickelsendalton.com/,your Google profile,marketing,"homeowners, families, and business owners",business law work,business law resource,"3,000+ Charleston homeowners, families, and business owners","Hi Mickelsen Dalton! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one business law firm as our exclusive partner, meaning we won’t work with a competing business law firm. Mickelsen Dalton looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: google_business_profile | website category match: attorney | market affinity: exact city address or core ZIP
2026-07-16,"Charleston, SC",Charleston Scoop,charlestonscoop.com,private schools,Second Presbyterian Preschool and Kindergarten,https://www.instagram.com/spkpreschool/,spkpreschool,https://spkpreschool.com/,your Google profile,admissions,families and parents,private school reputation,school choice,"3,000+ Charleston families and parents","Hi Second Presbyterian Preschool and Kindergarten! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one private school as our exclusive partner, meaning we won’t work with a competing private school. Second Presbyterian Preschool and Kindergarten looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: google_business_profile | website category match: school | market affinity: exact city address or core ZIP
2026-07-16,"Charleston, SC",Charleston Scoop,charlestonscoop.com,cosmetic dentistry,Tri-County Dental Arts,https://www.instagram.com/tricountydentalarts/,tricountydentalarts,https://tricountydentalarts.com/,your Google profile,the office,high-intent local wellness and family buyers,cosmetic dentistry work,smile upgrade option,"3,000+ Charleston high-intent local wellness and family buyers","Hi Tri-County Dental Arts! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one cosmetic dental practice as our exclusive partner, meaning we won’t work with a competing cosmetic dental office. Tri-County Dental Arts looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: google_business_profile | website category match: dentist | market affinity: exact city address or core ZIP
2026-07-16,"Charleston, SC",Charleston Scoop,charlestonscoop.com,HVAC,1st Choice A C Heating Plumbing & Gas,https://www.instagram.com/1stchoiceforac/,1stchoiceforac,https://www.1stchoiceforac.com/,your Google profile,marketing,homeowners and families,HVAC reputation,HVAC choice,"3,000+ Charleston homeowners and families","Hi 1st Choice A C Heating Plumbing & Gas! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one HVAC company as our exclusive partner, meaning we won’t work with a competing HVAC company. 1st Choice A C Heating Plumbing & Gas looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: google_business_profile | website category match: hvac | market affinity: exact city address or core ZIP
2026-07-16,"Charleston, SC",Charleston Scoop,charlestonscoop.com,HVAC,Morelli Heating & Air Conditioning,https://www.instagram.com/morellihvac/,morellihvac,https://morelliair.com/,your website,marketing,homeowners and families,HVAC reputation,HVAC choice,"3,000+ Charleston homeowners and families","Hi Morelli Heating & Air Conditioning! I found you through your website and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one HVAC company as our exclusive partner, meaning we won’t work with a competing HVAC company. Morelli Heating & Air Conditioning looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: google_business_profile | website category match: hvac | market affinity: exact city address or core ZIP
2026-07-16,"Charleston, SC",Charleston Scoop,charlestonscoop.com,vets,Oceanside Veterinary Clinic,https://www.instagram.com/oceansidevetclinic/,oceansidevetclinic,https://oceansidevets.com/,your Google profile,the office,families and parents,veterinary reputation,trusted vet,"3,000+ Charleston families and parents","Hi Oceanside Veterinary Clinic! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one veterinary practice as our exclusive partner, meaning we won’t work with a competing veterinary office. Oceanside Veterinary Clinic looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: google_business_profile | website category match: veterinary | market affinity: exact city address or core ZIP
2026-07-16,"Charleston, SC",Charleston Scoop,charlestonscoop.com,women's wellness,Results Physiotherapy Charleston South Carolina,https://www.instagram.com/resultspt/,resultspt,https://www.resultspt.com/locations/charleston-west-ashley/,your Google profile,the office,high-intent local wellness and family buyers,women's wellness work,women's wellness option,"3,000+ Charleston high-intent local wellness and family buyers","Hi Results Physiotherapy Charleston South Carolina! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one women's wellness practice as our exclusive partner, meaning we won’t work with a competing women's wellness clinic. Results Physiotherapy Charleston South Carolina looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: google_business_profile | website category match: health | market affinity: exact city address or core ZIP
2026-07-16,"Charleston, SC",Charleston Scoop,charlestonscoop.com,HVAC,Pleasant Air Conditioning and Electric,https://www.instagram.com/alwaysbechilling/,alwaysbechilling,https://pleasantairconditioning.com/,your Google profile,marketing,homeowners and families,HVAC reputation,HVAC choice,"3,000+ Charleston homeowners and families","Hi Pleasant Air Conditioning and Electric! I found you through your Google profile and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one HVAC company as our exclusive partner, meaning we won’t work with a competing HVAC company. Pleasant Air Conditioning and Electric looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: google_business_profile | website category match: hvac | market affinity: exact city address or core ZIP
