date,market,publication,domain,category,business_name,instagram_url,instagram_handle,website,research_source,contact_route,buyer_group,category_phrase,outcome_phrase,audience_line,final_dm,quality_score,duplicate_status,last_contacted_date,notes
2026-07-26,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,landscaping,Sun Power Lawn Care,https://www.instagram.com/sunpowerlawn/,sunpowerlawn,https://sunpowerlawncare.com/,your website,marketing,homeowners and families,landscaping work,outdoor upgrade choice,"3,000+ Gainesville homeowners and families","Hi Sun Power Lawn Care! I found you through your website and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one landscaping company as our exclusive partner, meaning we won’t work with a competing landscaping company. Sun Power Lawn Care looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: website_schema | website category match: landscaping | market affinity: exact city address or core ZIP
2026-07-26,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,women's wellness,Bevis Chiropractic,https://www.instagram.com/bevischiropractic/,bevischiropractic,https://www.freeyourspine.com/,your Google profile,the office,high-intent local wellness and family buyers,women's wellness work,women's wellness option,"3,000+ Gainesville high-intent local wellness and family buyers","Hi Bevis Chiropractic! I found you through your Google profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one women's wellness practice as our exclusive partner, meaning we won’t work with a competing women's wellness clinic. Bevis Chiropractic looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: wellness | market affinity: exact city address or core ZIP
2026-07-26,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,landscaping,Premier Lawn Care,https://www.instagram.com/premierlawncarefl/,premierlawncarefl,https://premierlawncarefl.com/,your website,marketing,homeowners and families,landscaping work,outdoor upgrade choice,"3,000+ Gainesville homeowners and families","Hi Premier Lawn Care! I found you through your website and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one landscaping company as our exclusive partner, meaning we won’t work with a competing landscaping company. Premier Lawn Care looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: landscaping | market affinity: exact city address or core ZIP
2026-07-26,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,private schools,Galen College of Nursing,https://www.instagram.com/galencollegeofnursing/,galencollegeofnursing,https://galencollege.edu/campuses/gainesville/,the Greater Gainesville Chamber,admissions,families and parents,private school reputation,school choice,"3,000+ Gainesville families and parents","Hi Galen College of Nursing! I found you through the Greater Gainesville Chamber and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one private school as our exclusive partner, meaning we won’t work with a competing private school. Galen College of Nursing looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: website_schema | website category match: school | market affinity: exact city address or core ZIP | discovery evidence: https://members.gainesvillechamber.com/list/member/galen-college-of-nursing-29303
2026-07-26,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,business law,Access Law Firm,https://www.instagram.com/youraccesslawfirm/,youraccesslawfirm,https://www.youraccesslawfirm.com/,your Google profile,marketing,"homeowners, families, and business owners",business law work,business law resource,"3,000+ Gainesville homeowners, families, and business owners","Hi Access Law Firm! I found you through your Google profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one business law firm as our exclusive partner, meaning we won’t work with a competing business law firm. Access Law Firm looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: business law | market affinity: exact city address or core ZIP
2026-07-26,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,catering,Another Broken Egg Cafe,https://www.instagram.com/anotherbrokenegg/,anotherbrokenegg,https://www.anotherbrokenegg.com/locations/gainesville-fl/,the Greater Gainesville Chamber,partnerships,"locals planning events, weddings, and private celebrations",catering work,catering choice,"3,000+ Gainesville locals planning events, weddings, and private celebrations","Hi Another Broken Egg Cafe! I found you through the Greater Gainesville Chamber and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one catering company as our exclusive partner, meaning we won’t work with a competing caterer. Another Broken Egg Cafe looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: instagram_display_name | website category match: catering | market affinity: exact city address or core ZIP | discovery evidence: https://members.gainesvillechamber.com/list/member/drd2-jones-llc-dba-another-broken-egg-cafe-30083
2026-07-26,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,med spas,Laser by Nicole Gainesville,https://www.instagram.com/laserbynicole/,laserbynicole,https://laserbynicole.com/,your Google profile,the office,high-intent local wellness and family buyers,med spa concept,go-to med spa,"3,000+ Gainesville high-intent local wellness and family buyers","Hi Laser by Nicole Gainesville! I found you through your Google profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one med spa as our exclusive partner, meaning we won’t work with a competing med spa. Laser by Nicole Gainesville looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: laser | market affinity: exact city address or core ZIP
2026-07-26,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,private schools,The Tutoring Company,https://www.instagram.com/thetutoringcompany/,thetutoringcompany,https://www.thetutoringwebsite.com/gainesville/,your Google profile,admissions,families and parents,private school reputation,school choice,"3,000+ Gainesville families and parents","Hi The Tutoring Company! I found you through your Google profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one private school as our exclusive partner, meaning we won’t work with a competing private school. The Tutoring Company looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",4,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: school | market affinity: exact city address or core ZIP
2026-07-26,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,landscaping,Winter Wonderland Gainesville,https://www.instagram.com/winterwonderland_gainesville/,winterwonderland_gainesville,https://winterwonderlandfl.com/,your Google profile,marketing,homeowners and families,landscaping work,outdoor upgrade choice,"3,000+ Gainesville homeowners and families","Hi Winter Wonderland Gainesville! I found you through your Google profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one landscaping company as our exclusive partner, meaning we won’t work with a competing landscaping company. Winter Wonderland Gainesville looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",4,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: lawn | market affinity: exact city address or core ZIP
2026-07-26,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,premium fitness,Gainesville Sports Commission,https://www.instagram.com/gvillesports/,gvillesports,https://www.gainesvillesportscommission.com/,the Greater Gainesville Chamber,marketing,high-intent local wellness and family buyers,fitness concept,fitness option,"3,000+ Gainesville high-intent local wellness and family buyers","Hi Gainesville Sports Commission! I found you through the Greater Gainesville Chamber and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one fitness studio as our exclusive partner, meaning we won’t work with a competing fitness studio. Gainesville Sports Commission looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",4,new,,Instagram HTTP 429 | name source: instagram_display_name | website category match: gym | market affinity: exact city address or core ZIP | discovery evidence: https://members.gainesvillechamber.com/list/member/gainesville-sports-commission-3266
2026-07-26,"Gainesville, FL",Gainesville Scoop,gainesvillescoop.com,aesthetics,Crystal Hunt NP Accented Edge Aesthetics Gainesville Florida,https://www.instagram.com/crystalhunt_np_florida/,crystalhunt_np_florida,,your Instagram profile,the office,high-intent local wellness and family buyers,aesthetics work,aesthetics destination,"3,000+ Gainesville high-intent local wellness and family buyers","Hi Crystal Hunt NP Accented Edge Aesthetics Gainesville Florida! I found you through your Instagram profile and wanted to reach out. We run Gainesville Scoop, a local email publication read by 3,000+ Gainesville-area locals.

We’re choosing one aesthetics practice as our exclusive partner, meaning we won’t work with a competing aesthetics clinic. Crystal Hunt NP Accented Edge Aesthetics Gainesville Florida looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",4,new,,Instagram HTTP 429 | name source: instagram_display_name | Instagram bio/display category match: aesthetics | market affinity: exact city address or core ZIP
