date,market,publication,domain,category,business_name,instagram_url,instagram_handle,website,research_source,contact_route,buyer_group,category_phrase,outcome_phrase,audience_line,final_dm,quality_score,duplicate_status,last_contacted_date,notes
2026-07-19,"Ocala, FL",Ocala Digest,ocaladigest.com,remodeling,Ocala Painting Pros,https://www.instagram.com/ocalapaintingpros/,ocalapaintingpros,https://ocalapaintingpros.com/,your Google profile,marketing,homeowners and families,remodeling work,home upgrade choice,"3,000+ Ocala homeowners and families","Hi Ocala Painting Pros! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one remodeling company as our exclusive partner, meaning we won’t work with a competing remodeling company. Ocala Painting Pros looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: kitchen | market affinity: exact city address or core ZIP
2026-07-19,"Ocala, FL",Ocala Digest,ocaladigest.com,private schools,Marion County Acceleration Academies,https://www.instagram.com/accelerationacademies/,accelerationacademies,https://accelerationacademies.org/our-locations/florida/marion-county/,your Google profile,admissions,families and parents,private school reputation,school choice,"3,000+ Ocala families and parents","Hi Marion County Acceleration Academies! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one private school as our exclusive partner, meaning we won’t work with a competing private school. Marion County Acceleration Academies looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: academy | market affinity: exact city address or core ZIP
2026-07-19,"Ocala, FL",Ocala Digest,ocaladigest.com,cosmetic dentistry,Weldon Implant and Cosmetic Dentistry of Ocala,https://www.instagram.com/weldondentistry/,weldondentistry,https://www.weldondentistry.com/,your Google profile,the office,high-intent local wellness and family buyers,cosmetic dentistry work,smile upgrade option,"3,000+ Ocala high-intent local wellness and family buyers","Hi Weldon Implant and Cosmetic Dentistry of Ocala! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one cosmetic dental practice as our exclusive partner, meaning we won’t work with a competing cosmetic dental office. Weldon Implant and Cosmetic Dentistry of Ocala looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: dentist | market affinity: exact city address or core ZIP
2026-07-19,"Ocala, FL",Ocala Digest,ocaladigest.com,HVAC,Patrick's Heating & Air Conditioning,https://www.instagram.com/patricksheatingac/,patricksheatingac,https://www.patrickshvac.com/,your Google profile,marketing,homeowners and families,HVAC reputation,HVAC choice,"3,000+ Ocala homeowners and families","Hi Patrick's Heating & Air Conditioning! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one HVAC company as our exclusive partner, meaning we won’t work with a competing HVAC company. Patrick's Heating & Air Conditioning looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: hvac | market affinity: exact city address or core ZIP
2026-07-19,"Ocala, FL",Ocala Digest,ocaladigest.com,private schools,Hopebridge Autism Therapy Center,https://www.instagram.com/hopebridge360/,hopebridge360,https://www.hopebridge.com/centers/ocala-fl/,your Google profile,admissions,families and parents,private school reputation,school choice,"3,000+ Ocala families and parents","Hi Hopebridge Autism Therapy Center! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one private school as our exclusive partner, meaning we won’t work with a competing private school. Hopebridge Autism Therapy Center looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | Instagram bio/display category match: private school | market affinity: exact city address or core ZIP
2026-07-19,"Ocala, FL",Ocala Digest,ocaladigest.com,private schools,Primer,https://www.instagram.com/withprimer/,withprimer,https://primer.com/,your Google profile,admissions,families and parents,private school reputation,school choice,"3,000+ Ocala families and parents","Hi Primer! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one private school as our exclusive partner, meaning we won’t work with a competing private school. Primer looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: school | market affinity: exact city address or core ZIP
2026-07-19,"Ocala, FL",Ocala Digest,ocaladigest.com,cosmetic dentistry,Florida Surgery Consultants Ocala,https://www.instagram.com/floridasurgery/,floridasurgery,https://floridasurgeryconsultants.com/,your Google profile,the office,high-intent local wellness and family buyers,cosmetic dentistry work,smile upgrade option,"3,000+ Ocala high-intent local wellness and family buyers","Hi Florida Surgery Consultants Ocala! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one cosmetic dental practice as our exclusive partner, meaning we won’t work with a competing cosmetic dental office. Florida Surgery Consultants Ocala looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | Instagram bio/display category match: dentist | market affinity: exact city address or core ZIP
2026-07-19,"Ocala, FL",Ocala Digest,ocaladigest.com,premium fitness,Play It Again Sports,https://www.instagram.com/playitagainsports/,playitagainsports,https://playitagainsports.com/locations/ocala-fl/,your Google profile,marketing,high-intent local wellness and family buyers,fitness concept,fitness option,"3,000+ Ocala high-intent local wellness and family buyers","Hi Play It Again Sports! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one fitness studio as our exclusive partner, meaning we won’t work with a competing fitness studio. Play It Again Sports looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: fitness | market affinity: exact city address or core ZIP
2026-07-19,"Ocala, FL",Ocala Digest,ocaladigest.com,remodeling,Window World of Ocala,https://www.instagram.com/windowworld/,windowworld,https://www.windowworldocala.com/,your Google profile,marketing,homeowners and families,remodeling work,home upgrade choice,"3,000+ Ocala homeowners and families","Hi Window World of Ocala! I found you through your Google profile and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one remodeling company as our exclusive partner, meaning we won’t work with a competing remodeling company. Window World of Ocala looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: google_business_profile | website category match: remodel | market affinity: exact city address or core ZIP
2026-07-19,"Ocala, FL",Ocala Digest,ocaladigest.com,roofing,Residential Roofing Products,https://www.instagram.com/qxoinc/,qxoinc,https://www.qxo.com/,your website,marketing,homeowners and families,roofing reputation,roofing choice,"3,000+ Ocala homeowners and families","Hi Residential Roofing Products! I found you through your website and wanted to reach out. We run Ocala Digest, a local email publication read by 3,000+ Ocala-area locals.

We’re choosing one roofing company as our exclusive partner, meaning we won’t work with a competing roofing company. Residential Roofing Products looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 429 | name source: instagram_display_name | website category match: roofing | market affinity: exact city address or core ZIP
