date,market,publication,domain,category,business_name,instagram_url,instagram_handle,website,research_source,contact_route,buyer_group,category_phrase,outcome_phrase,audience_line,final_dm,quality_score,duplicate_status,last_contacted_date,notes
2026-07-23,"Charleston, SC",Charleston Scoop,charlestonscoop.com,plumbing,Official RooterNOW,https://www.instagram.com/rooternow/,rooternow,https://rooternow.com/,your website,marketing,homeowners and families,plumbing reputation,plumbing choice,"3,000+ Charleston homeowners and families","Hi Official RooterNOW! I found you through your website and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one plumbing company as our exclusive partner, meaning we won’t work with a competing plumbing company. Official RooterNOW looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: website_schema | website category match: plumbing | market affinity: exact city address or core ZIP
2026-07-23,"Charleston, SC",Charleston Scoop,charlestonscoop.com,women's wellness,Thrive Spinal Care,https://www.instagram.com/thrivespinalcaresc/,thrivespinalcaresc,https://thrivespinalcaresc.com/,Lowcountry Local First,the office,high-intent local wellness and family buyers,women's wellness work,women's wellness option,"3,000+ Charleston high-intent local wellness and family buyers","Hi Thrive Spinal Care! I found you through Lowcountry Local First and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one women's wellness practice as our exclusive partner, meaning we won’t work with a competing women's wellness clinic. Thrive Spinal Care looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: wellness | market affinity: exact city address or core ZIP | discovery evidence: https://www.lowcountrylocalfirst.org/member-directory/thrive-spinal-care
2026-07-23,"Charleston, SC",Charleston Scoop,charlestonscoop.com,women's wellness,CHS Hormone,https://www.instagram.com/charleston_hormone_services/,charleston_hormone_services,https://chshormone.com/,your website,the office,high-intent local wellness and family buyers,women's wellness work,women's wellness option,"3,000+ Charleston high-intent local wellness and family buyers","Hi CHS Hormone! I found you through your website and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one women's wellness practice as our exclusive partner, meaning we won’t work with a competing women's wellness clinic. CHS Hormone looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: website_schema | website category match: wellness | market affinity: exact city address or core ZIP
2026-07-23,"Charleston, SC",Charleston Scoop,charlestonscoop.com,cosmetic dentistry,Oasis Family Dentistry,https://www.instagram.com/oasisfamilydentistry/,oasisfamilydentistry,https://www.oasisfamilydentistrysc.com/,the Mount Pleasant Chamber,the office,high-intent local wellness and family buyers,cosmetic dentistry work,smile upgrade option,"3,000+ Charleston high-intent local wellness and family buyers","Hi Oasis Family Dentistry! I found you through the Mount Pleasant Chamber and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one cosmetic dental practice as our exclusive partner, meaning we won’t work with a competing cosmetic dental office. Oasis Family Dentistry looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: website_schema | website category match: dentist | market affinity: exact city address or core ZIP | discovery evidence: https://business.mountpleasantchamber.org/list/member/oasis-family-dentistry-3331
2026-07-23,"Charleston, SC",Charleston Scoop,charlestonscoop.com,catering,The Drizzled Pear,https://www.instagram.com/thedrizzledpear/,thedrizzledpear,https://thedrizzledpear.com/,Lowcountry Local First,partnerships,"locals planning events, weddings, and private celebrations",catering work,catering choice,"3,000+ Charleston locals planning events, weddings, and private celebrations","Hi The Drizzled Pear! I found you through Lowcountry Local First and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one catering company as our exclusive partner, meaning we won’t work with a competing caterer. The Drizzled Pear looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: catering | market affinity: exact city address or core ZIP | discovery evidence: https://www.lowcountrylocalfirst.org/member-directory/the-drizzled-pear
2026-07-23,"Charleston, SC",Charleston Scoop,charlestonscoop.com,women's wellness,Innerbloom Healing Arts,https://www.instagram.com/innerbloomhealingarts/,innerbloomhealingarts,https://www.innerbloomhealingarts.com/,Lowcountry Local First,the office,high-intent local wellness and family buyers,women's wellness work,women's wellness option,"3,000+ Charleston high-intent local wellness and family buyers","Hi Innerbloom Healing Arts! I found you through Lowcountry Local First and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one women's wellness practice as our exclusive partner, meaning we won’t work with a competing women's wellness clinic. Innerbloom Healing Arts looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | Instagram bio/display category match: wellness | market affinity: exact city address or core ZIP | discovery evidence: https://www.lowcountrylocalfirst.org/member-directory/innerbloom-healing-arts
2026-07-23,"Charleston, SC",Charleston Scoop,charlestonscoop.com,catering,Verde,https://www.instagram.com/eatatverde/,eatatverde,https://www.eatatverde.com/catering/,Lowcountry Local First,partnerships,"locals planning events, weddings, and private celebrations",catering work,catering choice,"3,000+ Charleston locals planning events, weddings, and private celebrations","Hi Verde! I found you through Lowcountry Local First and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one catering company as our exclusive partner, meaning we won’t work with a competing caterer. Verde looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: catering | market affinity: exact city address or core ZIP | discovery evidence: https://www.lowcountrylocalfirst.org/member-directory/verde
2026-07-23,"Charleston, SC",Charleston Scoop,charlestonscoop.com,catering,NICO Oysters Seafood,https://www.instagram.com/nicoshemcreek/,nicoshemcreek,https://www.nicoshemcreek.com/,Lowcountry Local First,partnerships,"locals planning events, weddings, and private celebrations",catering work,catering choice,"3,000+ Charleston locals planning events, weddings, and private celebrations","Hi NICO Oysters Seafood! I found you through Lowcountry Local First and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one catering company as our exclusive partner, meaning we won’t work with a competing caterer. NICO Oysters Seafood looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: catering | market affinity: mount pleasant; explicit Charleston market/service evidence | discovery evidence: https://www.lowcountrylocalfirst.org/member-directory/nico-oysters--seafood
2026-07-23,"Charleston, SC",Charleston Scoop,charlestonscoop.com,premium fitness,ALTR Performance & Physical Therapy,https://www.instagram.com/altrperformance/,altrperformance,https://www.altrperformance.com/,Lowcountry Local First,marketing,high-intent local wellness and family buyers,fitness concept,fitness option,"3,000+ Charleston high-intent local wellness and family buyers","Hi ALTR Performance & Physical Therapy! I found you through Lowcountry Local First and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one fitness studio as our exclusive partner, meaning we won’t work with a competing fitness studio. ALTR Performance & Physical Therapy looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: instagram_display_name | website category match: gym | market affinity: exact city address or core ZIP | discovery evidence: https://www.lowcountrylocalfirst.org/member-directory/altr-performance-and-physical-therapy
2026-07-23,"Charleston, SC",Charleston Scoop,charlestonscoop.com,home care,Caring Senior Service,https://www.instagram.com/caring_senior_service/,caring_senior_service,https://caringseniorservice.com/,your website,marketing,"adult children, families, and local caregivers",home care work,trusted home care resource,"3,000+ Charleston adult children, families, and local caregivers","Hi Caring Senior Service! I found you through your website and wanted to reach out. We run Charleston Scoop, a local email publication read by 3,000+ Charleston-area locals.

We’re choosing one home care provider as our exclusive partner, meaning we won’t work with a competing home care agency. Caring Senior Service looked like a strong fit.

Worth a quick look? I can send a 2-minute rundown right here, no call needed.

Andrew",5,new,,Instagram HTTP 200 | name source: website_schema | website category match: home care | market affinity: mount pleasant; explicit Charleston market/service evidence
