date,market,publication,domain,category,business_name,instagram_url,instagram_handle,website,research_source,contact_route,buyer_group,category_phrase,outcome_phrase,audience_line,final_dm,quality_score,duplicate_status,last_contacted_date,notes
2026-07-01,"Augusta, GA",Augusta Digest,augustadigest.com,aesthetics,Augusta Facial Aesthetics,https://www.instagram.com/augustafa/,augustafa,https://augustafa.com,on your website's aesthetics work pages and linked Instagram,the office,high-intent local wellness and family buyers,aesthetics work,aesthetics destination,"6,000+ Augusta high-intent local wellness and family buyers","Hi Augusta Facial Aesthetics! Not sure if whoever handles the office is the one running this account, but I saw you on your website's aesthetics work pages and linked Instagram and your aesthetics work is obviously strong. Figured Augusta Digest could become a good new channel for you to reach our 6,000+ Augusta high-intent local wellness and family buyers.

We’re looking for 1 aesthetics partner to have as an exclusive partner we turn into the most recognized aesthetics destination for Augusta high-intent local wellness and family buyers through our email publication.

Would this be worth a 5-minute chat with whoever handles the office or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: augustadigest.com

* Andrew",5,new,,Instagram HTTP 200 | name source: website_schema | website category match: aesthetics
2026-07-01,"Augusta, GA",Augusta Digest,augustadigest.com,HVAC,Doc Savage Heating & Air Conditioning Inc.,https://www.instagram.com/docsavagehvac/,docsavagehvac,https://docsavageair.com,on your website's HVAC reputation pages and linked Instagram,marketing,homeowners and families,HVAC reputation,HVAC choice,"6,000+ Augusta homeowners and families","Hi Doc Savage Heating & Air Conditioning Inc.! Not sure if whoever handles marketing is the one running this account, but I saw you on your website's HVAC reputation pages and linked Instagram and your HVAC reputation is obviously strong. Figured Augusta Digest could become a good new channel for you to reach our 6,000+ Augusta homeowners and families.

We’re looking for 1 HVAC partner to have as an exclusive partner we turn into the most recognized HVAC choice for Augusta homeowners and families through our email publication.

Would this be worth a 5-minute chat with whoever handles marketing or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: augustadigest.com

* Andrew",5,new,,Instagram HTTP 200 | name source: website_schema | website category match: hvac
2026-07-01,"Augusta, GA",Augusta Digest,augustadigest.com,premium fitness,More Than A Game,https://www.instagram.com/mtagsportsandfitnesscomplex/,mtagsportsandfitnesscomplex,https://www.mtagfitness.com,on your website's fitness concept pages and linked Instagram,marketing,high-intent local wellness and family buyers,fitness concept,fitness option,"6,000+ Augusta high-intent local wellness and family buyers","Hi More Than A Game! Not sure if whoever handles marketing is the one running this account, but I saw you on your website's fitness concept pages and linked Instagram and your fitness concept is obviously strong. Figured Augusta Digest could become a good new channel for you to reach our 6,000+ Augusta high-intent local wellness and family buyers.

We’re looking for 1 premium fitness partner to have as an exclusive partner we turn into the most recognized fitness option for Augusta high-intent local wellness and family buyers through our email publication.

Would this be worth a 5-minute chat with whoever handles marketing or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: augustadigest.com

* Andrew",5,new,,Instagram HTTP 200 | name source: website_schema | website category match: fitness
2026-07-01,"Augusta, GA",Augusta Digest,augustadigest.com,landscaping,Benson Lawn Maintenance,https://www.instagram.com/bensonlawnmaintenance/,bensonlawnmaintenance,https://bensonlawnmaintenance.com,on your website's landscaping work pages and linked Instagram,marketing,homeowners and families,landscaping work,outdoor upgrade choice,"6,000+ Augusta homeowners and families","Hi Benson Lawn Maintenance! Not sure if whoever handles marketing is the one running this account, but I saw you on your website's landscaping work pages and linked Instagram and your landscaping work is obviously strong. Figured Augusta Digest could become a good new channel for you to reach our 6,000+ Augusta homeowners and families.

We’re looking for 1 landscaping partner to have as an exclusive partner we turn into the most recognized outdoor upgrade choice for Augusta homeowners and families through our email publication.

Would this be worth a 5-minute chat with whoever handles marketing or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: augustadigest.com

* Andrew",5,new,,Instagram HTTP 200 | name source: website_schema | website category match: landscaping
2026-07-01,"Augusta, GA",Augusta Digest,augustadigest.com,cosmetic dentistry,West Augusta Dental Associates,https://www.instagram.com/westaugustadental/,westaugustadental,https://www.westaugustadental.com/contact/,on your website's cosmetic dentistry work pages and linked Instagram,the office,high-intent local wellness and family buyers,cosmetic dentistry work,smile upgrade option,"6,000+ Augusta high-intent local wellness and family buyers","Hi West Augusta Dental Associates! Not sure if whoever handles the office is the one running this account, but I saw you on your website's cosmetic dentistry work pages and linked Instagram and your cosmetic dentistry work is obviously strong. Figured Augusta Digest could become a good new channel for you to reach our 6,000+ Augusta high-intent local wellness and family buyers.

We’re looking for 1 cosmetic dentistry partner to have as an exclusive partner we turn into the most recognized smile upgrade option for Augusta high-intent local wellness and family buyers through our email publication.

Would this be worth a 5-minute chat with whoever handles the office or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: augustadigest.com

* Andrew",5,new,,Instagram HTTP 200 | name source: website_schema | website category match: dentist
2026-07-01,"Augusta, GA",Augusta Digest,augustadigest.com,aesthetics,Bella Capelli Salon & Spa,https://www.instagram.com/bellacapelliaugusta/,bellacapelliaugusta,https://www.bellacapelliaugusta.com,on your website's aesthetics work pages and linked Instagram,the office,high-intent local wellness and family buyers,aesthetics work,aesthetics destination,"6,000+ Augusta high-intent local wellness and family buyers","Hi Bella Capelli Salon & Spa! Not sure if whoever handles the office is the one running this account, but I saw you on your website's aesthetics work pages and linked Instagram and your aesthetics work is obviously strong. Figured Augusta Digest could become a good new channel for you to reach our 6,000+ Augusta high-intent local wellness and family buyers.

We’re looking for 1 aesthetics partner to have as an exclusive partner we turn into the most recognized aesthetics destination for Augusta high-intent local wellness and family buyers through our email publication.

Would this be worth a 5-minute chat with whoever handles the office or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: augustadigest.com

* Andrew",5,new,,Instagram HTTP 200 | name source: website_schema | website category match: salon
2026-07-01,"Augusta, GA",Augusta Digest,augustadigest.com,aesthetics,Studio 285,https://www.instagram.com/studio285_hairsalon/,studio285_hairsalon,https://www.studio285.com,on your website's aesthetics work pages and linked Instagram,the office,high-intent local wellness and family buyers,aesthetics work,aesthetics destination,"6,000+ Augusta high-intent local wellness and family buyers","Hi Studio 285! Not sure if whoever handles the office is the one running this account, but I saw you on your website's aesthetics work pages and linked Instagram and your aesthetics work is obviously strong. Figured Augusta Digest could become a good new channel for you to reach our 6,000+ Augusta high-intent local wellness and family buyers.

We’re looking for 1 aesthetics partner to have as an exclusive partner we turn into the most recognized aesthetics destination for Augusta high-intent local wellness and family buyers through our email publication.

Would this be worth a 5-minute chat with whoever handles the office or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: augustadigest.com

* Andrew",5,new,,Instagram HTTP 200 | name source: website_schema | website category match: salon
2026-07-01,"Augusta, GA",Augusta Digest,augustadigest.com,landscaping,Fairway Lawns,https://www.instagram.com/fairwaylawns/,fairwaylawns,https://fairwaylawns.com/location/augusta-ga,on your website's landscaping work pages and linked Instagram,marketing,homeowners and families,landscaping work,outdoor upgrade choice,"6,000+ Augusta homeowners and families","Hi Fairway Lawns! Not sure if whoever handles marketing is the one running this account, but I saw you on your website's landscaping work pages and linked Instagram and your landscaping work is obviously strong. Figured Augusta Digest could become a good new channel for you to reach our 6,000+ Augusta homeowners and families.

We’re looking for 1 landscaping partner to have as an exclusive partner we turn into the most recognized outdoor upgrade choice for Augusta homeowners and families through our email publication.

Would this be worth a 5-minute chat with whoever handles marketing or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: augustadigest.com

* Andrew",4,new,,Instagram HTTP 200 | name source: website_schema | website category match: lawn
2026-07-01,"Augusta, GA",Augusta Digest,augustadigest.com,premium fitness,Orangetheory Fitness,https://www.instagram.com/orangetheory/,orangetheory,https://www.orangetheory.com/en-us/locations/augusta-georgia-1489/,on your website's fitness concept pages and linked Instagram,marketing,high-intent local wellness and family buyers,fitness concept,fitness option,"6,000+ Augusta high-intent local wellness and family buyers","Hi Orangetheory Fitness! Not sure if whoever handles marketing is the one running this account, but I saw you on your website's fitness concept pages and linked Instagram and your fitness concept is obviously strong. Figured Augusta Digest could become a good new channel for you to reach our 6,000+ Augusta high-intent local wellness and family buyers.

We’re looking for 1 premium fitness partner to have as an exclusive partner we turn into the most recognized fitness option for Augusta high-intent local wellness and family buyers through our email publication.

Would this be worth a 5-minute chat with whoever handles marketing or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: augustadigest.com

* Andrew",4,new,,Instagram HTTP 200 | name source: website_schema | website category match: fitness
2026-07-01,"Augusta, GA",Augusta Digest,augustadigest.com,aesthetics,A Taste of T Salon,https://www.instagram.com/atotsalon/,atotsalon,https://www.atotsalon.com,on your website's aesthetics work pages and linked Instagram,the office,high-intent local wellness and family buyers,aesthetics work,aesthetics destination,"6,000+ Augusta high-intent local wellness and family buyers","Hi A Taste of T Salon! Not sure if whoever handles the office is the one running this account, but I saw you on your website's aesthetics work pages and linked Instagram and your aesthetics work is obviously strong. Figured Augusta Digest could become a good new channel for you to reach our 6,000+ Augusta high-intent local wellness and family buyers.

We’re looking for 1 aesthetics partner to have as an exclusive partner we turn into the most recognized aesthetics destination for Augusta high-intent local wellness and family buyers through our email publication.

Would this be worth a 5-minute chat with whoever handles the office or totally not something y’all need right now? Happy to work around your schedule, or instead of call just text the right person more info.

website: augustadigest.com

* Andrew",4,new,,Instagram HTTP 200 | name source: website_schema | website category match: salon
